symbol,rows,nulls,min_ts,max_ts,first_oi_ts,last_oi_ts,null_rate,non_nulls
ICP_USDT:USDT,30173,20366,2021-05-12 03:00:00+00:00,2025-02-15 23:00:00+00:00,2024-01-01 00:00:00+00:00,2025-02-15 23:00:00+00:00,0.6749743147847413,9807
INJ_USDT:USDT,21746,11933,2022-08-18 02:00:00+00:00,2025-02-15 23:00:00+00:00,2024-01-01 00:00:00+00:00,2025-02-15 23:00:00+00:00,0.5487445967074405,9813
LDO_USDT:USDT,20864,11067,2022-09-23 12:00:00+00:00,2025-02-15 23:00:00+00:00,2024-01-01 00:00:00+00:00,2025-02-15 23:00:00+00:00,0.5304351993865031,9797
APT_USDT:USDT,20237,10487,2022-10-20 02:00:00+00:00,2025-02-15 23:00:00+00:00,2024-01-01 00:00:00+00:00,2025-02-15 23:00:00+00:00,0.5182092207342985,9750
QNT_USDT:USDT,20201,10401,2022-10-21 02:00:00+00:00,2025-02-15 23:00:00+00:00,2024-01-01 00:00:00+00:00,2025-02-15 23:00:00+00:00,0.5148755012128112,9800
MINA_USDT:USDT,17569,7777,2023-02-08 11:00:00+00:00,2025-02-15 23:00:00+00:00,2024-01-01 00:00:00+00:00,2025-02-15 23:00:00+00:00,0.44265467584950763,9792
ARB_USDT:USDT,16527,6734,2023-03-24 15:00:00+00:00,2025-02-15 23:00:00+00:00,2024-01-01 00:00:00+00:00,2025-02-15 23:00:00+00:00,0.4074544684455739,9793
ETH_USDT:USDT,44635,16676,2020-01-02 00:00:00+00:00,2025-02-15 23:00:00+00:00,2021-12-01 00:00:00+00:00,2025-02-15 23:00:00+00:00,0.3736081550352862,27959
BTC_USDT:USDT,44657,16677,2020-01-02 00:00:00+00:00,2025-02-15 23:00:00+00:00,2021-12-01 00:00:00+00:00,2025-02-15 23:00:00+00:00,0.37344649215128645,27980
XRP_USDT:USDT,44318,16523,2020-01-07 08:00:00+00:00,2025-02-15 23:00:00+00:00,2021-12-01 00:00:00+00:00,2025-02-15 23:00:00+00:00,0.37282819621824087,27795
LTC_USDT:USDT,44290,16475,2020-01-10 08:00:00+00:00,2025-02-15 23:00:00+00:00,2021-12-01 00:00:00+00:00,2025-02-15 23:00:00+00:00,0.3719801309550689,27815
EOS_USDT:USDT,44386,16486,2020-01-09 08:00:00+00:00,2025-02-15 23:00:00+00:00,2021-12-01 00:00:00+00:00,2025-02-15 23:00:00+00:00,0.3714234217996666,27900
ANKR_USDT:USDT,19790,7316,2021-01-27 07:00:00+00:00,2023-05-09 14:00:00+00:00,2021-12-01 00:00:00+00:00,2023-05-09 14:00:00+00:00,0.3696816574027286,12474
SUI_USDT:USDT,15571,5755,2023-05-04 16:00:00+00:00,2025-02-15 23:00:00+00:00,2024-01-01 00:00:00+00:00,2025-02-15 23:00:00+00:00,0.3695973283668358,9816
ETC_USDT:USDT,44180,16275,2020-01-17 08:00:00+00:00,2025-02-15 23:00:00+00:00,2021-12-01 00:00:00+00:00,2025-02-15 23:00:00+00:00,0.3683793571751924,27905
LINK_USDT:USDT,44232,16277,2020-01-18 08:00:00+00:00,2025-02-15 23:00:00+00:00,2021-12-01 00:00:00+00:00,2025-02-15 23:00:00+00:00,0.3679914993669741,27955
ADA_USDT:USDT,43892,15951,2020-02-01 08:00:00+00:00,2025-02-15 23:00:00+00:00,2021-12-01 00:00:00+00:00,2025-02-15 23:00:00+00:00,0.3634147452838786,27941
ZEC_USDT:USDT,43638,15847,2020-02-06 08:00:00+00:00,2025-02-15 23:00:00+00:00,2021-12-01 00:00:00+00:00,2025-02-15 23:00:00+00:00,0.36314679866171684,27791
DASH_USDT:USDT,43766,15850,2020-02-05 08:00:00+00:00,2025-02-15 23:00:00+00:00,2021-12-01 00:00:00+00:00,2025-02-15 23:00:00+00:00,0.362153269661381,27916
XTZ_USDT:USDT,43688,15817,2020-02-07 08:00:00+00:00,2025-02-15 23:00:00+00:00,2021-12-01 00:00:00+00:00,2025-02-15 23:00:00+00:00,0.36204449734480865,27871
ATOM_USDT:USDT,43685,15765,2020-02-08 12:00:00+00:00,2025-02-15 23:00:00+00:00,2021-12-01 00:00:00+00:00,2025-02-15 23:00:00+00:00,0.36087902025867,27920
VET_USDT:USDT,43398,15626,2020-02-15 08:00:00+00:00,2025-02-15 23:00:00+00:00,2021-12-01 00:00:00+00:00,2025-02-15 23:00:00+00:00,0.360062675699341,27772
ONT_USDT:USDT,43545,15669,2020-02-12 08:00:00+00:00,2025-02-15 23:00:00+00:00,2021-12-01 00:00:00+00:00,2025-02-15 23:00:00+00:00,0.35983465380640717,27876
BNB_USDT:USDT,43623,15689,2020-02-11 08:00:00+00:00,2025-02-15 23:00:00+00:00,2021-12-01 00:00:00+00:00,2025-02-15 23:00:00+00:00,0.3596497260619398,27934
BAT_USDT:USDT,43478,15596,2020-02-14 08:00:00+00:00,2025-02-15 23:00:00+00:00,2021-12-01 00:00:00+00:00,2025-02-15 23:00:00+00:00,0.3587101522609136,27882
QTUM_USDT:USDT,43296,15432,2020-02-21 08:00:00+00:00,2025-02-15 23:00:00+00:00,2021-12-01 00:00:00+00:00,2025-02-15 23:00:00+00:00,0.35643015521064303,27864
IOST_USDT:USDT,43325,15414,2020-02-22 08:00:00+00:00,2025-02-15 23:00:00+00:00,2021-12-01 00:00:00+00:00,2025-02-15 23:00:00+00:00,0.3557761107905366,27911
THETA_USDT:USDT,41067,13176,2020-05-28 08:00:00+00:00,2025-02-15 23:00:00+00:00,2021-12-01 00:00:00+00:00,2025-02-15 23:00:00+00:00,0.32084155161078237,27891
NMR_USDT:USDT,14342,4557,2023-06-23 12:00:00+00:00,2025-02-15 23:00:00+00:00,2024-01-01 00:00:00+00:00,2025-02-15 23:00:00+00:00,0.31773811183935297,9785
ZIL_USDT:USDT,40371,12619,2020-06-19 09:00:00+00:00,2025-02-15 23:00:00+00:00,2021-12-01 00:00:00+00:00,2025-02-15 23:00:00+00:00,0.31257585890862255,27752
ALGO_USDT:USDT,40597,12672,2020-06-17 09:00:00+00:00,2025-02-15 23:00:00+00:00,2021-12-01 00:00:00+00:00,2025-02-15 23:00:00+00:00,0.3121412912284159,27925
KNC_USDT:USDT,40258,12497,2020-06-23 08:00:00+00:00,2025-02-15 23:00:00+00:00,2021-12-01 00:00:00+00:00,2025-02-15 23:00:00+00:00,0.3104227731134184,27761
ZRX_USDT:USDT,40305,12466,2020-06-25 09:00:00+00:00,2025-02-15 23:00:00+00:00,2021-12-01 00:00:00+00:00,2025-02-15 23:00:00+00:00,0.3092916511599057,27839
COMP_USDT:USDT,40254,12354,2020-07-01 09:00:00+00:00,2025-02-15 23:00:00+00:00,2021-12-01 00:00:00+00:00,2025-02-15 23:00:00+00:00,0.30690117752273066,27900
DOGE_USDT:USDT,39948,12057,2020-07-11 09:00:00+00:00,2025-02-15 23:00:00+00:00,2021-12-01 00:00:00+00:00,2025-02-15 23:00:00+00:00,0.30181736257134273,27891
BAND_USDT:USDT,39552,11663,2020-07-30 07:00:00+00:00,2025-02-15 23:00:00+00:00,2021-12-01 00:00:00+00:00,2025-02-15 23:00:00+00:00,0.2948776294498382,27889
KAVA_USDT:USDT,39587,11670,2020-07-29 07:00:00+00:00,2025-02-15 23:00:00+00:00,2021-12-01 00:00:00+00:00,2025-02-15 23:00:00+00:00,0.29479374542147674,27917
MKR_USDT:USDT,39096,11290,2020-08-14 07:00:00+00:00,2025-02-15 23:00:00+00:00,2021-12-01 00:00:00+00:00,2025-02-15 23:00:00+00:00,0.28877634540617964,27806
SNX_USDT:USDT,39190,11307,2020-08-15 07:00:00+00:00,2025-02-15 23:00:00+00:00,2021-12-01 00:00:00+00:00,2025-02-15 23:00:00+00:00,0.2885174789487114,27883
DOT_USDT:USDT,39027,11091,2020-08-23 07:00:00+00:00,2025-02-15 23:00:00+00:00,2021-12-01 00:00:00+00:00,2025-02-15 23:00:00+00:00,0.284187869936198,27936
BLZ_USDT:USDT,37010,10454,2020-09-18 07:00:00+00:00,2024-12-23 08:00:00+00:00,2021-12-01 00:00:00+00:00,2024-12-23 08:00:00+00:00,0.2824641988651716,26556
YFI_USDT:USDT,38614,10890,2020-09-01 07:00:00+00:00,2025-02-15 23:00:00+00:00,2021-12-01 00:00:00+00:00,2025-02-15 23:00:00+00:00,0.28202206453617856,27724
CRV_USDT:USDT,38797,10847,2020-09-02 07:00:00+00:00,2025-02-15 23:00:00+00:00,2021-12-01 00:00:00+00:00,2025-02-15 23:00:00+00:00,0.27958347294893937,27950
SUSHI_USDT:USDT,38534,10773,2020-09-05 07:00:00+00:00,2025-02-15 23:00:00+00:00,2021-12-01 00:00:00+00:00,2025-02-15 23:00:00+00:00,0.27957128769398454,27761
RUNE_USDT:USDT,38727,10801,2020-09-05 07:00:00+00:00,2025-02-15 23:00:00+00:00,2021-12-01 00:00:00+00:00,2025-02-15 23:00:00+00:00,0.2789010251245901,27926
FTM_USDT:USDT,37162,10297,2020-09-25 07:00:00+00:00,2025-01-06 09:00:00+00:00,2021-12-01 00:00:00+00:00,2025-01-06 09:00:00+00:00,0.277084118185243,26865
SOL_USDT:USDT,38365,10537,2020-09-15 07:00:00+00:00,2025-02-15 23:00:00+00:00,2021-12-01 00:00:00+00:00,2025-02-15 23:00:00+00:00,0.27465137495112735,27828
REN_USDT:USDT,35939,9860,2020-10-14 07:00:00+00:00,2024-12-03 09:00:00+00:00,2021-12-01 00:00:00+00:00,2024-12-03 09:00:00+00:00,0.2743537661036757,26079
STORJ_USDT:USDT,38160,10458,2020-09-17 07:00:00+00:00,2025-02-15 23:00:00+00:00,2021-12-01 00:00:00+00:00,2025-02-15 23:00:00+00:00,0.27405660377358493,27702
EGLD_USDT:USDT,38415,10515,2020-09-15 07:00:00+00:00,2025-02-15 23:00:00+00:00,2021-12-01 00:00:00+00:00,2025-02-15 23:00:00+00:00,0.2737212026552128,27900
ICX_USDT:USDT,38393,10502,2020-09-16 06:00:00+00:00,2025-02-15 23:00:00+00:00,2021-12-01 00:00:00+00:00,2025-02-15 23:00:00+00:00,0.27353944729507984,27891
UNI_USDT:USDT,38377,10451,2020-09-19 07:00:00+00:00,2025-02-15 23:00:00+00:00,2021-12-01 00:00:00+00:00,2025-02-15 23:00:00+00:00,0.272324569403549,27926
AVAX_USDT:USDT,38289,10334,2020-09-24 07:00:00+00:00,2025-02-15 23:00:00+00:00,2021-12-01 00:00:00+00:00,2025-02-15 23:00:00+00:00,0.2698947478388049,27955
ENJ_USDT:USDT,38056,10164,2020-09-30 07:00:00+00:00,2025-02-15 23:00:00+00:00,2021-12-01 00:00:00+00:00,2025-02-15 23:00:00+00:00,0.26708009249527015,27892
NEAR_USDT:USDT,37595,9816,2020-10-16 08:00:00+00:00,2025-02-15 23:00:00+00:00,2021-12-01 00:00:00+00:00,2025-02-15 23:00:00+00:00,0.26109855033914087,27779
FIL_USDT:USDT,37555,9754,2020-10-17 06:00:00+00:00,2025-02-15 23:00:00+00:00,2021-12-01 00:00:00+00:00,2025-02-15 23:00:00+00:00,0.25972573558780454,27801
AAVE_USDT:USDT,37693,9779,2020-10-17 07:00:00+00:00,2025-02-15 23:00:00+00:00,2021-12-01 00:00:00+00:00,2025-02-15 23:00:00+00:00,0.2594380919534131,27914
LRC_USDT:USDT,37439,9679,2020-10-20 07:00:00+00:00,2025-02-15 23:00:00+00:00,2021-12-01 00:00:00+00:00,2025-02-15 23:00:00+00:00,0.25852720425225034,27760
AXS_USDT:USDT,36820,8934,2020-11-21 07:00:00+00:00,2025-02-15 23:00:00+00:00,2021-12-01 00:00:00+00:00,2025-02-15 23:00:00+00:00,0.24263986963606735,27886
ZEN_USDT:USDT,36634,8888,2020-11-25 07:00:00+00:00,2025-02-15 23:00:00+00:00,2021-12-01 00:00:00+00:00,2025-02-15 23:00:00+00:00,0.2426161489326855,27746
GRT_USDT:USDT,36032,8270,2020-12-20 07:00:00+00:00,2025-02-15 23:00:00+00:00,2021-12-01 00:00:00+00:00,2025-02-15 23:00:00+00:00,0.22951820603907638,27762
1INCH_USDT:USDT,35988,8101,2020-12-26 10:00:00+00:00,2025-02-15 23:00:00+00:00,2021-12-01 00:00:00+00:00,2025-02-15 23:00:00+00:00,0.2251028120484606,27887
CHZ_USDT:USDT,35337,7440,2021-01-22 07:00:00+00:00,2025-02-15 23:00:00+00:00,2021-12-01 00:00:00+00:00,2025-02-15 23:00:00+00:00,0.21054418881059514,27897
SAND_USDT:USDT,35130,7394,2021-01-26 07:00:00+00:00,2025-02-15 23:00:00+00:00,2021-12-01 00:00:00+00:00,2025-02-15 23:00:00+00:00,0.21047537717050954,27736
RVN_USDT:USDT,34397,6653,2021-02-24 07:00:00+00:00,2025-02-15 23:00:00+00:00,2021-12-01 00:00:00+00:00,2025-02-15 23:00:00+00:00,0.19341803064220717,27744
CHR_USDT:USDT,34140,6254,2021-03-13 07:00:00+00:00,2025-02-15 23:00:00+00:00,2021-12-01 00:00:00+00:00,2025-02-15 23:00:00+00:00,0.18318687756297597,27886
MANA_USDT:USDT,33968,6173,2021-03-16 07:00:00+00:00,2025-02-15 23:00:00+00:00,2021-12-01 00:00:00+00:00,2025-02-15 23:00:00+00:00,0.18172986340084785,27795
HBAR_USDT:USDT,33887,6137,2021-03-18 07:00:00+00:00,2025-02-15 23:00:00+00:00,2021-12-01 00:00:00+00:00,2025-02-15 23:00:00+00:00,0.18110189748281053,27750
STMX_USDT:USDT,33881,6021,2021-03-23 07:00:00+00:00,2025-02-15 23:00:00+00:00,2021-12-01 00:00:00+00:00,2025-02-15 23:00:00+00:00,0.17771022106785514,27860
DENT_USDT:USDT,33859,5975,2021-03-25 04:00:00+00:00,2025-02-15 23:00:00+00:00,2021-12-01 00:00:00+00:00,2025-02-15 23:00:00+00:00,0.17646711361824036,27884
CELR_USDT:USDT,33765,5854,2021-03-30 07:00:00+00:00,2025-02-15 23:00:00+00:00,2021-12-01 00:00:00+00:00,2025-02-15 23:00:00+00:00,0.17337479638679107,27911
OGN_USDT:USDT,33504,5772,2021-04-02 07:00:00+00:00,2025-02-15 23:00:00+00:00,2021-12-01 00:00:00+00:00,2025-02-15 23:00:00+00:00,0.1722779369627507,27732
MTL_USDT:USDT,33611,5783,2021-04-01 07:00:00+00:00,2025-02-15 23:00:00+00:00,2021-12-01 00:00:00+00:00,2025-02-15 23:00:00+00:00,0.1720567671298087,27828
NKN_USDT:USDT,33415,5579,2021-04-10 07:00:00+00:00,2025-02-15 23:00:00+00:00,2021-12-01 00:00:00+00:00,2025-02-15 23:00:00+00:00,0.16696094568307646,27836
TIA_USDT:USDT,11261,1450,2023-11-01 18:00:00+00:00,2025-02-15 23:00:00+00:00,2024-01-01 00:00:00+00:00,2025-02-15 23:00:00+00:00,0.1287629873013054,9811
STEEM_USDT:USDT,11010,1261,2023-11-09 14:00:00+00:00,2025-02-15 23:00:00+00:00,2024-01-01 00:00:00+00:00,2025-02-15 23:00:00+00:00,0.1145322434150772,9749
CELO_USDT:USDT,29426,1529,2021-09-28 03:00:00+00:00,2025-02-15 23:00:00+00:00,2021-12-01 00:00:00+00:00,2025-02-15 23:00:00+00:00,0.051960850948141096,27897
CTSI_USDT:USDT,28697,833,2021-10-27 03:00:00+00:00,2025-02-15 23:00:00+00:00,2021-12-01 00:00:00+00:00,2025-02-15 23:00:00+00:00,0.029027424469456737,27864
LSK_USDT:USDT,9154,10,2024-01-26 14:00:00+00:00,2025-02-15 23:00:00+00:00,2024-01-26 14:00:00+00:00,2025-02-15 23:00:00+00:00,0.0010924186148131964,9144
OP_USDT:USDT,23577,10,2022-06-02 14:00:00+00:00,2025-02-15 23:00:00+00:00,2022-06-02 14:00:00+00:00,2025-02-15 23:00:00+00:00,0.0004241421724562073,23567
APE_USDT:USDT,25382,10,2022-03-18 15:00:00+00:00,2025-02-15 23:00:00+00:00,2022-03-18 15:00:00+00:00,2025-02-15 23:00:00+00:00,0.0003939799858167205,25372
IMX_USDT:USDT,26041,10,2022-02-12 03:00:00+00:00,2025-02-15 23:00:00+00:00,2022-02-12 03:00:00+00:00,2025-02-15 23:00:00+00:00,0.0003840098306516647,26031
FLOW_USDT:USDT,26073,10,2022-02-11 03:00:00+00:00,2025-02-15 23:00:00+00:00,2022-02-11 03:00:00+00:00,2025-02-15 23:00:00+00:00,0.0003835385264449814,26063
COS_USDT:USDT,3257,0,2024-10-01 13:00:00+00:00,2025-02-15 23:00:00+00:00,2024-10-01 13:00:00+00:00,2025-02-15 23:00:00+00:00,0.0,3257
TROY_USDT:USDT,2514,0,2024-11-01 13:00:00+00:00,2025-02-15 23:00:00+00:00,2024-11-01 13:00:00+00:00,2025-02-15 23:00:00+00:00,0.0,2514
